student_id,academic_year,grade_level,class,excused_absences,unexcused_absences,behavior_score,conduct_grade,teacher_remarks
S007,2025-2026,12,12C1,4,1,77,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S008,2023-2024,10,10A2,3,0,65,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S008,2024-2025,11,11B2,1,1,71,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S008,2025-2026,12,12C1,5,1,65,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S009,2023-2024,10,10A2,3,0,73,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S009,2024-2025,11,11B2,5,0,78,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S009,2025-2026,12,12C1,2,1,66,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S010,2023-2024,10,10A2,7,6,49,Yếu,"Thuong xuyen di muon, chua hoan thanh bai tap, can chu y ky luat."
S010,2024-2025,11,11B1,7,4,51,Trung bình,"Thuong xuyen di muon, chua hoan thanh bai tap, can chu y ky luat."
S010,2025-2026,12,12C1,6,4,57,Trung bình,"Thuong xuyen di muon, chua hoan thanh bai tap, can chu y ky luat."
S011,2023-2024,10,10A2,4,1,83,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S011,2024-2025,11,11B1,4,2,72,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S011,2025-2026,12,12C1,1,1,69,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S012,2023-2024,10,10A1,2,1,66,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S012,2024-2025,11,11B2,3,0,83,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S012,2025-2026,12,12C1,1,0,70,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S013,2023-2024,10,10A2,2,1,66,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S013,2024-2025,11,11B2,1,0,75,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S013,2025-2026,12,12C1,5,0,79,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S014,2023-2024,10,10A2,3,7,40,Yếu,"Vi pham quy che lop nhieu lan, nghi hoc vo toi va, can gia dinh phoi hop."
S014,2024-2025,11,11B1,7,4,61,Trung bình,"Thuong xuyen di muon, chua hoan thanh bai tap, can chu y ky luat."
S014,2025-2026,12,12C1,3,9,45,Yếu,"Vi pham quy che lop nhieu lan, nghi hoc vo toi va, can gia dinh phoi hop."
S015,2023-2024,10,10A2,4,1,71,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S015,2024-2025,11,11B2,5,2,84,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S015,2025-2026,12,12C1,5,1,77,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S016,2023-2024,10,10A2,1,2,65,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S016,2024-2025,11,11B2,4,2,84,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S016,2025-2026,12,12C1,4,1,67,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S017,2023-2024,10,10A1,4,2,78,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S017,2024-2025,11,11B1,4,2,69,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S017,2025-2026,12,12C1,2,0,70,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S018,2023-2024,10,10A1,2,0,98,Tốt,"Rat nang no, trach nhiem cao trong cong viec chung cua lop, ket qua xuat sac."
S018,2024-2025,11,11B1,2,0,95,Tốt,"Rat nang no, trach nhiem cao trong cong viec chung cua lop, ket qua xuat sac."
S018,2025-2026,12,12C1,1,0,89,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S019,2023-2024,10,10A2,1,2,84,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S019,2024-2025,11,11B2,5,1,70,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S019,2025-2026,12,12C1,3,0,82,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S020,2023-2024,10,10A1,2,0,86,Tốt,"Rat nang no, trach nhiem cao trong cong viec chung cua lop, ket qua xuat sac."
S020,2024-2025,11,11B1,0,0,89,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S020,2025-2026,12,12C1,0,0,98,Tốt,"Rat nang no, trach nhiem cao trong cong viec chung cua lop, ket qua xuat sac."
S021,2023-2024,10,10A2,1,0,68,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S021,2024-2025,11,11B1,2,0,76,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S021,2025-2026,12,12C1,4,0,79,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S022,2023-2024,10,10A1,5,0,74,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S022,2024-2025,11,11B1,2,1,77,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S022,2025-2026,12,12C1,4,0,73,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S023,2023-2024,10,10A1,1,0,92,Tốt,"Rat nang no, trach nhiem cao trong cong viec chung cua lop, ket qua xuat sac."
S023,2024-2025,11,11B2,0,0,95,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S023,2025-2026,12,12C1,1,0,92,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S024,2023-2024,10,10A2,3,1,77,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S024,2024-2025,11,11B1,2,1,71,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S024,2025-2026,12,12C1,3,0,80,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S025,2023-2024,10,10A1,4,2,69,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S025,2024-2025,11,11B1,3,0,71,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S025,2025-2026,12,12C1,5,2,76,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S026,2023-2024,10,10A2,4,1,67,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S026,2024-2025,11,11B1,5,1,74,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S026,2025-2026,12,12C1,4,1,70,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S027,2023-2024,10,10A1,5,2,80,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S027,2024-2025,11,11B2,2,0,82,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S027,2025-2026,12,12C1,1,1,80,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S028,2023-2024,10,10A2,2,0,84,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S028,2024-2025,11,11B1,1,2,75,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S028,2025-2026,12,12C1,5,2,66,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S029,2023-2024,10,10A2,2,1,82,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S029,2024-2025,11,11B1,2,0,79,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S029,2025-2026,12,12C1,2,2,68,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S030,2023-2024,10,10A1,1,1,69,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S030,2024-2025,11,11B1,5,1,84,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S030,2025-2026,12,12C1,5,1,74,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S031,2023-2024,10,10A2,0,0,91,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S031,2024-2025,11,11B1,1,0,98,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S031,2025-2026,12,12C1,2,0,93,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S032,2023-2024,10,10A2,3,1,70,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S032,2024-2025,11,11B2,4,2,82,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S032,2025-2026,12,12C1,2,0,69,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S033,2023-2024,10,10A2,1,0,95,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S033,2024-2025,11,11B1,1,0,86,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S033,2025-2026,12,12C1,2,0,90,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S034,2023-2024,10,10A2,1,0,88,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S034,2024-2025,11,11B2,1,0,96,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S034,2025-2026,12,12C1,1,0,99,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S035,2023-2024,10,10A1,1,1,74,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S035,2024-2025,11,11B1,2,0,65,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S035,2025-2026,12,12C1,4,0,74,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S036,2023-2024,10,10A2,2,0,84,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S036,2024-2025,11,11B2,4,1,81,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S036,2025-2026,12,12C1,1,2,69,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S037,2023-2024,10,10A1,1,0,96,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S037,2024-2025,11,11B2,1,0,99,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S037,2025-2026,12,12C1,1,0,98,Tốt,"Rat nang no, trach nhiem cao trong cong viec chung cua lop, ket qua xuat sac."
S038,2023-2024,10,10A2,5,2,74,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S038,2024-2025,11,11B2,3,1,74,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S038,2025-2026,12,12C1,2,1,74,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S039,2023-2024,10,10A2,0,0,96,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S039,2024-2025,11,11B2,0,0,100,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S039,2025-2026,12,12C1,2,0,92,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S040,2023-2024,10,10A2,4,0,72,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S040,2024-2025,11,11B2,2,0,69,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S040,2025-2026,12,12C1,5,0,68,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S041,2023-2024,10,10A2,2,1,72,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S041,2024-2025,11,11B2,1,0,80,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S041,2025-2026,12,12C1,3,2,77,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S042,2023-2024,10,10A2,1,1,71,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S042,2024-2025,11,11B2,1,1,84,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S042,2025-2026,12,12C1,4,2,83,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S043,2023-2024,10,10A2,2,0,98,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S043,2024-2025,11,11B2,0,0,94,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S043,2025-2026,12,12C1,2,0,98,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S044,2023-2024,10,10A2,5,1,78,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S044,2024-2025,11,11B1,2,0,74,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S044,2025-2026,12,12C1,3,2,68,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S045,2023-2024,10,10A2,0,0,96,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S045,2024-2025,11,11B1,0,0,88,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S045,2025-2026,12,12C1,2,0,88,Tốt,"Hoc sinh xuat sac toan dien, guong mau, tich cuc trong moi phong trao."
S046,2023-2024,10,10A2,4,1,68,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S046,2024-2025,11,11B1,4,2,79,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S046,2025-2026,12,12C1,2,1,75,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S047,2023-2024,10,10A1,5,0,80,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S047,2024-2025,11,11B2,2,0,77,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S047,2025-2026,12,12C1,5,1,66,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S048,2023-2024,10,10A1,4,0,84,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S048,2024-2025,11,11B1,3,1,79,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S048,2025-2026,12,12C1,3,1,68,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S049,2023-2024,10,10A1,4,2,78,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S049,2024-2025,11,11B2,1,0,74,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S049,2025-2026,12,12C1,3,2,71,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S050,2023-2024,10,10A1,2,2,82,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S050,2024-2025,11,11B1,5,1,75,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S050,2025-2026,12,12C1,3,2,75,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S051,2023-2024,10,10A1,5,0,73,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S051,2024-2025,11,11B2,3,2,74,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S051,2025-2026,12,12C1,1,0,80,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S052,2023-2024,10,10A1,5,0,72,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S052,2024-2025,11,11B1,5,2,71,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S052,2025-2026,12,12C1,3,1,82,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S053,2023-2024,10,10A2,4,1,81,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S053,2024-2025,11,11B2,1,0,80,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S053,2025-2026,12,12C1,3,2,71,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S054,2023-2024,10,10A1,2,2,79,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S054,2024-2025,11,11B1,3,1,77,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S054,2025-2026,12,12C1,4,1,67,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S055,2023-2024,10,10A2,2,2,69,Khá,"Hoc luc trung binh kha, doi luc con chua tap trung nghe giang."
S055,2024-2025,11,11B1,2,0,70,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S055,2025-2026,12,12C1,5,2,80,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S056,2023-2024,10,10A2,3,1,83,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S056,2024-2025,11,11B1,2,0,69,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S056,2025-2026,12,12C1,5,0,79,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S057,2023-2024,10,10A2,2,1,69,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S057,2024-2025,11,11B1,4,0,80,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S057,2025-2026,12,12C1,1,1,81,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S058,2023-2024,10,10A1,1,1,79,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S058,2024-2025,11,11B2,4,0,72,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S058,2025-2026,12,12C1,5,1,67,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S059,2023-2024,10,10A2,2,2,68,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S059,2024-2025,11,11B2,3,1,68,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S059,2025-2026,12,12C1,4,1,81,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S060,2023-2024,10,10A2,3,2,81,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S060,2024-2025,11,11B1,1,2,84,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S060,2025-2026,12,12C1,3,0,75,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S061,2023-2024,10,10A2,3,3,41,Yếu,"Thuong xuyen di muon, chua hoan thanh bai tap, can chu y ky luat."
S061,2024-2025,11,11B2,7,9,42,Yếu,"Thuong xuyen di muon, chua hoan thanh bai tap, can chu y ky luat."
S061,2025-2026,12,12C1,7,9,49,Yếu,"Nghi hoc nhieu khong phep, thai do hoc tap chua tot, can gia dinh nhac nho gap."
S062,2023-2024,10,10A2,7,8,45,Yếu,"Thuong xuyen di muon, chua hoan thanh bai tap, can chu y ky luat."
S062,2024-2025,11,11B1,6,8,59,Trung bình,"Y thuc to chuc ky luat chua cao, hay noi chuyen rieng, luc hoc yeu kem."
S062,2025-2026,12,12C1,3,3,58,Trung bình,"Nghi hoc nhieu khong phep, thai do hoc tap chua tot, can gia dinh nhac nho gap."
S063,2023-2024,10,10A2,1,0,76,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S063,2024-2025,11,11B2,4,1,69,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S063,2025-2026,12,12C1,5,0,81,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S064,2023-2024,10,10A2,5,0,82,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S064,2024-2025,11,11B1,4,1,83,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S064,2025-2026,12,12C1,1,0,73,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S065,2023-2024,10,10A2,2,0,76,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S065,2024-2025,11,11B2,5,1,72,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S065,2025-2026,12,12C1,4,0,77,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S066,2023-2024,10,10A2,2,2,73,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S066,2024-2025,11,11B1,5,1,81,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S066,2025-2026,12,12C1,1,2,83,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S067,2023-2024,10,10A1,2,0,83,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S067,2024-2025,11,11B1,5,0,79,Khá,"Ngoan ngoan, le phep, hoan thanh tot cac nhiem vu duoc giao."
S067,2025-2026,12,12C1,1,2,78,Khá,"Cham ngoan, hoc luc kha gioi, di hoc day du va dung gio."
S068,2023-2024,10,10A1,5,2,68,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S068,2024-2025,11,11B2,4,1,67,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S068,2025-2026,12,12C1,2,0,82,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S069,2023-2024,10,10A2,5,10,54,Trung bình,"Nghi hoc nhieu khong phep, thai do hoc tap chua tot, can gia dinh nhac nho gap."
S069,2024-2025,11,11B1,5,3,44,Yếu,"Thuong xuyen di muon, chua hoan thanh bai tap, can chu y ky luat."
S069,2025-2026,12,12C1,5,3,53,Trung bình,"Y thuc to chuc ky luat chua cao, hay noi chuyen rieng, luc hoc yeu kem."
S070,2023-2024,10,10A1,1,0,66,Khá,"Ngoan ngoan nhung con tram, it phat bieu, luc hoc o muc trung binh."
S070,2024-2025,11,11B2,1,1,75,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S070,2025-2026,12,12C1,3,0,82,Khá,"Y thuc hoc tap tot, co tien bo nhieu trong nam hoc, hoa dong voi ban be."
S071,2023-2024,10,10A1,0,0,94,Tốt,"Rat nang no, trach nhiem cao trong cong viec chung cua lop, ket qua xuat sac."
S071,2024-2025,11,11B2,1,0,95,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S071,2025-2026,12,12C1,1,0,87,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S072,2023-2024,10,10A2,5,1,67,Khá,"Con di hoc muon vai lan, chua hoan thanh day du bai tap ve nha."
S072,2024-2025,11,11B2,2,0,66,Khá,"Can co gang tap trung hon nua, han che noi chuyen rieng trong lop."
S072,2025-2026,12,12C1,1,1,75,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
S073,2023-2024,10,10A1,1,0,99,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S073,2024-2025,11,11B2,1,0,86,Tốt,"Lop truong guong mau, hoc tot, tac phong nhanh nhen, giup do ban be tot."
S073,2025-2026,12,12C1,2,0,99,Tốt,"Cham ngoan, hoc gioi, co tu duy sang tao tot, tich cuc phat bieu."
S074,2023-2024,10,10A2,5,2,79,Khá,"Co y thuc ky luat tot, tiep thu bai nhanh, can phat huy hon cac mon tu nhien."
