student_id,academic_year,grade_level,class,subject,factor_1,factor_2,factor_3,gpa
S002,2023-2024,10,10A1,English,9.7;9.1,9.6,9.6,9.54
S002,2023-2024,10,10A1,Physics,8.1;9.6,9.7,9.0,9.16
S002,2023-2024,10,10A1,Chemistry,8.6;9.2,9.1,9.6,9.26
S002,2023-2024,10,10A1,Biology,8.2;8.0,9.8,8.8,8.89
S002,2023-2024,10,10A1,History,9.1;9.8,9.6,8.8,9.21
S002,2023-2024,10,10A1,Geography,8.8;9.0,8.7,9.5,9.1
S002,2024-2025,11,11B2,Math,8.5;9.1,9.3,9.1,9.07
S002,2024-2025,11,11B2,Literature,8.5;8.3,8.5,8.7,8.56
S002,2024-2025,11,11B2,English,8.7;9.2,8.9,8.5,8.74
S002,2024-2025,11,11B2,Physics,9.7;9.9,10.0,9.6,9.77
S002,2024-2025,11,11B2,Chemistry,9.5;8.5,8.5,9.6,9.11
S002,2024-2025,11,11B2,Biology,8.4;8.2,8.3,9.3,8.73
S002,2024-2025,11,11B2,History,8.8;9.2,9.0,9.6,9.26
S002,2024-2025,11,11B2,Geography,8.2;8.3,8.5,9.9,9.03
S002,2025-2026,12,12C1,Math,8.2;9.6,9.7,9.3,9.3
S002,2025-2026,12,12C1,Literature,8.7;9.1,8.0,9.5,8.9
S002,2025-2026,12,12C1,English,8.7;8.9,9.7,9.4,9.31
S002,2025-2026,12,12C1,Physics,9.1;9.5,9.0,9.2,9.17
S002,2025-2026,12,12C1,Chemistry,8.8;8.7,9.0,8.6,8.76
S002,2025-2026,12,12C1,Biology,9.1;8.1,9.7,9.0,9.09
S002,2025-2026,12,12C1,History,8.0;8.6,9.5,9.6,9.2
S002,2025-2026,12,12C1,Geography,9.9;9.3,9.0,9.2,9.26
S003,2023-2024,10,10A1,Math,9.1;9.7,9.3,9.3,9.33
S003,2023-2024,10,10A1,Literature,8.4;9.0,10.0,9.5,9.41
S003,2023-2024,10,10A1,English,9.3;8.9,9.2,9.5,9.3
S003,2023-2024,10,10A1,Physics,9.3;8.1,8.4,9.2,8.83
S003,2023-2024,10,10A1,Chemistry,9.8;8.3,8.4,9.2,8.93
S003,2023-2024,10,10A1,Biology,9.1;9.9,9.1,8.9,9.13
S003,2023-2024,10,10A1,History,9.1;9.9,8.3,9.2,9.03
S003,2023-2024,10,10A1,Geography,8.8;9.7,9.5,9.1,9.26
S003,2024-2025,11,11B1,Math,8.9;9.4,8.8,9.2,9.07
S003,2024-2025,11,11B1,Literature,9.1;9.5,10.0,9.5,9.59
S003,2024-2025,11,11B1,English,8.9;8.8,8.4,9.6,9.04
S003,2024-2025,11,11B1,Physics,8.9;8.1,8.5,9.5,8.93
S003,2024-2025,11,11B1,Chemistry,8.6;8.4,9.2,9.6,9.17
S003,2024-2025,11,11B1,Biology,8.5;8.4,10.0,8.8,9.04
S003,2024-2025,11,11B1,History,10.0;8.1,8.0,8.7,8.6
S003,2024-2025,11,11B1,Geography,8.9;8.1,9.4,9.3,9.1
S003,2025-2026,12,12C1,Math,8.6;9.0,9.2,8.7,8.87
S003,2025-2026,12,12C1,Literature,9.1;10.0,9.3,9.2,9.33
S003,2025-2026,12,12C1,English,9.1;8.7,9.5,9.6,9.37
S003,2025-2026,12,12C1,Physics,8.8;9.4,9.7,9.3,9.36
S003,2025-2026,12,12C1,Chemistry,8.4;9.9,8.1,9.3,8.91
S003,2025-2026,12,12C1,Biology,8.8;8.1,8.6,9.9,9.11
S003,2025-2026,12,12C1,History,8.5;8.6,9.3,9.6,9.21
S003,2025-2026,12,12C1,Geography,9.9;9.8,9.3,9.8,9.67
S004,2023-2024,10,10A2,Math,7.0;6.9,7.0,5.5,6.34
S004,2023-2024,10,10A2,Literature,8.2;5.5,6.8,6.3,6.6
S004,2023-2024,10,10A2,English,5.9;6.2,5.5,7.1,6.34
S004,2023-2024,10,10A2,Physics,6.5;5.7,6.5,5.8,6.09
S004,2023-2024,10,10A2,Chemistry,6.8;8.0,7.2,5.3,6.44
S004,2023-2024,10,10A2,Biology,6.5;5.8,6.2,8.1,7.0
S004,2023-2024,10,10A2,History,7.8;5.9,7.7,5.1,6.34
S004,2023-2024,10,10A2,Geography,7.2;8.4,7.3,6.5,7.1
S004,2024-2025,11,11B1,Math,7.2;6.5,7.8,6.3,6.89
S004,2024-2025,11,11B1,Literature,7.6;5.9,7.2,6.1,6.6
S004,2024-2025,11,11B1,English,5.6;8.4,7.7,5.8,6.69
S004,2024-2025,11,11B1,Physics,8.2;7.2,7.5,6.1,6.96
S004,2024-2025,11,11B1,Chemistry,7.6;8.4,6.7,5.0,6.34
S004,2024-2025,11,11B1,Biology,6.8;7.3,5.2,7.6,6.76
S004,2024-2025,11,11B1,History,5.9;7.6,6.6,7.8,7.16
S004,2024-2025,11,11B1,Geography,5.6;6.6,6.4,7.3,6.7
S004,2025-2026,12,12C1,Math,5.8;5.6,5.0,7.1,6.1
S004,2025-2026,12,12C1,Literature,6.9;7.3,7.3,5.7,6.56
S004,2025-2026,12,12C1,English,7.9;7.7,7.1,8.2,7.77
S004,2025-2026,12,12C1,Physics,6.9;8.1,6.6,8.1,7.5
S004,2025-2026,12,12C1,Chemistry,7.2;7.7,7.5,6.5,7.06
S004,2025-2026,12,12C1,Biology,5.8;6.4,7.8,7.3,7.1
S004,2025-2026,12,12C1,History,5.9;6.6,7.4,6.6,6.73
S004,2025-2026,12,12C1,Geography,8.0;6.9,7.5,7.6,7.53
S005,2023-2024,10,10A1,Math,8.1;6.7,6.2,5.1,6.07
S005,2023-2024,10,10A1,Literature,8.2;8.0,5.0,6.3,6.44
S005,2023-2024,10,10A1,English,7.9;7.1,5.9,6.9,6.79
S005,2023-2024,10,10A1,Physics,6.9;6.0,6.6,5.7,6.17
S005,2023-2024,10,10A1,Chemistry,8.3;6.8,8.0,6.4,7.19
S005,2023-2024,10,10A1,Biology,6.8;6.7,6.1,7.5,6.89
S005,2023-2024,10,10A1,History,7.2;7.1,7.9,7.3,7.43
S005,2023-2024,10,10A1,Geography,6.1;7.1,5.4,7.6,6.69
S005,2024-2025,11,11B2,Math,6.7;6.6,5.8,6.7,6.43
S005,2024-2025,11,11B2,Literature,6.4;7.9,7.9,5.5,6.66
S005,2024-2025,11,11B2,English,7.1;7.0,7.2,7.1,7.11
S005,2024-2025,11,11B2,Physics,6.2;7.8,7.2,6.2,6.71
S005,2024-2025,11,11B2,Chemistry,6.3;7.0,5.3,6.8,6.33
S005,2024-2025,11,11B2,Biology,6.5;5.7,6.0,7.8,6.8
S005,2024-2025,11,11B2,History,6.5;8.0,6.0,6.9,6.74
S005,2024-2025,11,11B2,Geography,6.5;6.7,7.5,5.8,6.51
S005,2025-2026,12,12C1,Math,6.5;5.9,5.2,7.5,6.47
S005,2025-2026,12,12C1,Literature,7.8;6.7,6.3,7.5,7.09
S005,2025-2026,12,12C1,English,7.8;6.8,5.3,5.6,6.0
S005,2025-2026,12,12C1,Physics,5.6;6.0,7.8,7.8,7.23
S005,2025-2026,12,12C1,Chemistry,7.3;6.8,6.5,7.1,6.91
S005,2025-2026,12,12C1,Biology,5.6;5.6,5.8,7.8,6.6
S005,2025-2026,12,12C1,History,7.9;7.3,6.0,6.2,6.54
S005,2025-2026,12,12C1,Geography,6.3;5.9,6.2,5.2,5.74
S006,2023-2024,10,10A1,Math,3.7;4.0,3.1,4.7,4.0
S006,2023-2024,10,10A1,Literature,4.2;6.1,5.9,5.5,5.51
S006,2023-2024,10,10A1,English,4.3;3.5,4.4,4.5,4.3
S006,2023-2024,10,10A1,Physics,5.8;4.7,4.8,5.0,5.01
S006,2023-2024,10,10A1,Chemistry,4.9;4.7,3.3,5.4,4.63
S006,2023-2024,10,10A1,Biology,3.8;3.3,4.0,4.8,4.21
S006,2023-2024,10,10A1,History,5.0;5.0,5.9,5.7,5.56
S006,2023-2024,10,10A1,Geography,4.9;3.5,5.9,4.1,4.64
S006,2024-2025,11,11B1,Math,4.3;5.1,4.5,3.1,3.96
S006,2024-2025,11,11B1,Literature,3.8;4.0,5.2,3.7,4.19
S006,2024-2025,11,11B1,English,6.5;6.0,5.6,5.5,5.74
S006,2024-2025,11,11B1,Physics,4.0;4.2,3.1,6.0,4.63
S006,2024-2025,11,11B1,Chemistry,6.5;4.5,5.5,4.3,4.99
S006,2024-2025,11,11B1,Biology,6.1;3.9,5.5,5.8,5.49
S006,2024-2025,11,11B1,History,3.3;3.6,3.9,4.8,4.16
S006,2024-2025,11,11B1,Geography,5.1;3.1,5.2,5.2,4.89
S006,2025-2026,12,12C1,Math,6.1;3.5,3.0,4.7,4.24
S006,2025-2026,12,12C1,Literature,5.0;5.6,3.9,4.5,4.56
S006,2025-2026,12,12C1,English,3.6;6.3,3.4,3.2,3.76
S006,2025-2026,12,12C1,Physics,4.2;3.8,4.9,3.8,4.17
S006,2025-2026,12,12C1,Chemistry,6.0;3.4,5.7,2.6,4.09
S006,2025-2026,12,12C1,Biology,5.8;6.1,5.5,3.7,4.86
S006,2025-2026,12,12C1,History,3.3;4.7,5.5,4.0,4.43
S006,2025-2026,12,12C1,Geography,3.8;4.8,5.6,3.8,4.46
S007,2023-2024,10,10A2,Math,6.5;8.5,6.1,8.1,7.36
S007,2023-2024,10,10A2,Literature,6.8;6.8,7.1,5.3,6.24
S007,2023-2024,10,10A2,English,7.0;8.0,5.4,5.2,5.91
S007,2023-2024,10,10A2,Physics,8.3;6.6,7.4,8.0,7.67
S007,2023-2024,10,10A2,Chemistry,6.9;6.7,7.8,6.6,7.0
S007,2023-2024,10,10A2,Biology,7.5;8.4,5.1,8.4,7.33
S007,2023-2024,10,10A2,History,6.4;6.1,7.1,6.1,6.43
S007,2023-2024,10,10A2,Geography,6.8;7.7,6.6,6.2,6.61
S007,2024-2025,11,11B1,Math,6.7;7.0,6.4,7.0,6.79
S007,2024-2025,11,11B1,Literature,7.8;7.6,5.6,7.3,6.93
S007,2024-2025,11,11B1,English,6.8;6.5,6.7,5.6,6.21
S007,2024-2025,11,11B1,Physics,7.4;6.0,6.9,5.6,6.29
S007,2024-2025,11,11B1,Chemistry,8.4;5.5,5.1,6.6,6.27
S007,2024-2025,11,11B1,Biology,7.4;8.4,7.2,7.6,7.57
S007,2024-2025,11,11B1,History,8.2;5.6,7.2,7.4,7.2
S007,2024-2025,11,11B1,Geography,8.4;7.0,7.0,7.1,7.24
S007,2025-2026,12,12C1,Math,7.0;7.5,8.0,7.8,7.7
S007,2025-2026,12,12C1,Literature,7.0;7.0,6.6,8.4,7.49
S007,2025-2026,12,12C1,English,6.4;8.5,7.0,5.8,6.61
S007,2025-2026,12,12C1,Physics,7.5;6.1,6.1,6.8,6.6
S007,2025-2026,12,12C1,Chemistry,5.5;6.9,8.0,6.1,6.67
S007,2025-2026,12,12C1,Biology,6.9;7.1,6.6,8.3,7.44
S007,2025-2026,12,12C1,History,7.3;8.2,6.7,8.4,7.73
S007,2025-2026,12,12C1,Geography,7.0;7.3,6.6,6.9,6.89
S008,2023-2024,10,10A2,Math,6.8;7.1,7.6,8.4,7.76
S008,2023-2024,10,10A2,Literature,6.0;6.6,6.8,5.7,6.19
S008,2023-2024,10,10A2,English,7.8;7.8,5.9,7.2,7.0
S008,2023-2024,10,10A2,Physics,7.3;6.0,7.9,6.7,7.03
S008,2023-2024,10,10A2,Chemistry,6.5;7.2,5.7,5.0,5.73
S008,2023-2024,10,10A2,Biology,6.8;6.7,6.8,6.4,6.61
S008,2023-2024,10,10A2,History,6.9;7.7,5.2,7.5,6.79
S008,2023-2024,10,10A2,Geography,5.7;8.1,7.1,5.1,6.19
S008,2024-2025,11,11B2,Math,6.2;6.9,6.5,5.3,6.0
S008,2024-2025,11,11B2,Literature,7.5;5.8,5.2,6.8,6.3
S008,2024-2025,11,11B2,English,6.6;5.7,7.0,7.1,6.8
S008,2024-2025,11,11B2,Physics,6.1;7.5,5.0,5.7,5.81
S008,2024-2025,11,11B2,Chemistry,6.0;6.1,6.8,8.2,7.19
S008,2024-2025,11,11B2,Biology,6.2;6.2,7.5,7.0,6.91
S008,2024-2025,11,11B2,History,8.1;6.9,7.7,7.8,7.69
S008,2024-2025,11,11B2,Geography,5.6;7.8,5.4,8.1,6.93
S008,2025-2026,12,12C1,Math,6.5;7.8,6.6,6.9,6.89
S008,2025-2026,12,12C1,Literature,7.6;6.4,5.3,6.4,6.26
S008,2025-2026,12,12C1,English,5.9;7.2,8.0,7.4,7.33
S008,2025-2026,12,12C1,Physics,5.5;5.8,5.5,7.0,6.19
S008,2025-2026,12,12C1,Chemistry,7.6;8.0,6.3,5.9,6.56
S008,2025-2026,12,12C1,Biology,6.8;6.0,6.2,5.3,5.87
S008,2025-2026,12,12C1,History,7.4;8.3,5.1,5.2,5.93
S008,2025-2026,12,12C1,Geography,6.1;7.6,5.8,7.9,7.0
S009,2023-2024,10,10A2,Math,6.3;7.7,5.3,6.4,6.26
S009,2023-2024,10,10A2,Literature,5.6;8.1,5.4,8.2,7.01
S009,2023-2024,10,10A2,English,6.5;6.4,5.6,6.1,6.06
S009,2023-2024,10,10A2,Physics,7.1;5.9,7.0,8.4,7.46
S009,2023-2024,10,10A2,Chemistry,7.4;6.5,5.4,8.3,7.09
S009,2023-2024,10,10A2,Biology,6.0;5.6,7.2,7.7,7.01
S009,2023-2024,10,10A2,History,5.9;8.0,5.2,5.8,5.96
S009,2023-2024,10,10A2,Geography,6.7;7.0,6.1,5.6,6.1
S009,2024-2025,11,11B2,Math,6.7;6.8,6.4,5.4,6.07
S009,2024-2025,11,11B2,Literature,5.7;6.0,6.7,5.2,5.81
S009,2024-2025,11,11B2,English,6.3;8.0,5.6,5.6,6.04
S009,2024-2025,11,11B2,Physics,6.9;7.4,5.5,8.0,7.04
S009,2024-2025,11,11B2,Chemistry,6.8;6.4,6.0,6.2,6.26
S009,2024-2025,11,11B2,Biology,8.3;6.8,5.7,7.4,6.96
S009,2024-2025,11,11B2,History,8.2;6.3,5.2,5.9,6.09
S009,2024-2025,11,11B2,Geography,8.3;5.5,6.3,7.9,7.16
S009,2025-2026,12,12C1,Math,7.2;6.3,5.9,8.1,7.09
S009,2025-2026,12,12C1,Literature,6.7;6.8,6.8,5.2,6.1
S009,2025-2026,12,12C1,English,7.6;5.8,7.6,5.2,6.31
S009,2025-2026,12,12C1,Physics,5.7;6.0,6.5,6.3,6.23
S009,2025-2026,12,12C1,Chemistry,8.4;6.7,7.6,5.5,6.69
S009,2025-2026,12,12C1,Biology,8.3;7.6,6.9,6.6,7.07
S009,2025-2026,12,12C1,History,7.8;6.7,6.9,6.2,6.7
S009,2025-2026,12,12C1,Geography,5.9;6.9,8.0,5.4,6.43
S010,2023-2024,10,10A2,Math,4.2;4.1,5.7,4.8,4.87
S010,2023-2024,10,10A2,Literature,6.0;3.4,3.7,5.6,4.8
S010,2023-2024,10,10A2,English,6.0;5.5,5.0,3.5,4.57
S010,2023-2024,10,10A2,Physics,5.1;3.7,3.1,5.8,4.63
S010,2023-2024,10,10A2,Chemistry,3.5;4.3,4.0,4.4,4.14
S010,2023-2024,10,10A2,Biology,3.9;5.4,3.9,3.5,3.94
S010,2023-2024,10,10A2,History,5.6;4.8,3.4,3.8,4.09
S010,2023-2024,10,10A2,Geography,6.2;4.5,5.4,5.1,5.26
S010,2024-2025,11,11B1,Math,4.0;5.2,4.2,3.5,4.01
S010,2024-2025,11,11B1,Literature,5.6;4.8,3.8,3.0,3.86
S010,2024-2025,11,11B1,English,3.8;4.6,5.4,5.4,5.06
S010,2024-2025,11,11B1,Physics,4.7;6.2,4.4,3.8,4.44
S010,2024-2025,11,11B1,Chemistry,3.7;5.9,4.9,4.5,4.7
S010,2024-2025,11,11B1,Biology,4.2;6.3,4.2,5.2,4.93
S010,2024-2025,11,11B1,History,4.1;4.1,4.1,5.1,4.53
S010,2024-2025,11,11B1,Geography,5.8;3.4,3.4,4.0,4.0
S010,2025-2026,12,12C1,Math,3.3;4.1,5.9,5.9,5.27
S010,2025-2026,12,12C1,Literature,5.5;3.6,5.5,5.5,5.23
S010,2025-2026,12,12C1,English,4.9;6.4,3.3,2.8,3.76
S010,2025-2026,12,12C1,Physics,6.2;3.1,4.6,2.6,3.76
S010,2025-2026,12,12C1,Chemistry,4.7;6.0,4.8,4.1,4.66
S010,2025-2026,12,12C1,Biology,3.1;4.0,4.5,3.3,3.71
S010,2025-2026,12,12C1,History,5.8;5.0,5.5,5.9,5.64
S010,2025-2026,12,12C1,Geography,3.4;5.4,3.6,3.1,3.61
S011,2023-2024,10,10A2,Math,5.7;6.2,7.2,5.5,6.11
S011,2023-2024,10,10A2,Literature,7.8;5.7,7.1,7.0,6.96
S011,2023-2024,10,10A2,English,5.5;6.2,6.7,7.8,6.93
S011,2023-2024,10,10A2,Physics,8.4;7.1,6.9,8.4,7.79
S011,2023-2024,10,10A2,Chemistry,6.1;6.0,8.0,6.5,6.8
S011,2023-2024,10,10A2,Biology,6.6;6.3,6.0,5.7,6.0
S011,2023-2024,10,10A2,History,6.5;7.0,7.2,7.0,6.99
S011,2023-2024,10,10A2,Geography,6.0;7.4,7.9,7.5,7.39
S011,2024-2025,11,11B1,Math,5.8;6.3,7.6,5.2,6.13
S011,2024-2025,11,11B1,Literature,6.3;8.2,5.8,6.8,6.64
S011,2024-2025,11,11B1,English,6.8;6.1,6.8,7.4,6.96
S011,2024-2025,11,11B1,Physics,5.7;6.6,5.6,5.9,5.89
S011,2024-2025,11,11B1,Chemistry,6.0;7.8,5.8,6.6,6.46
S011,2024-2025,11,11B1,Biology,7.5;6.8,6.2,6.6,6.64
S011,2024-2025,11,11B1,History,6.1;8.2,6.2,6.4,6.56
S011,2024-2025,11,11B1,Geography,6.8;7.4,6.6,7.4,7.09
S011,2025-2026,12,12C1,Math,6.1;8.2,6.3,8.4,7.44
S011,2025-2026,12,12C1,Literature,8.2;6.5,6.4,8.0,7.36
S011,2025-2026,12,12C1,English,5.8;5.9,5.6,7.2,6.36
S011,2025-2026,12,12C1,Physics,6.4;8.1,5.3,8.4,7.19
S011,2025-2026,12,12C1,Chemistry,8.5;7.5,5.7,7.1,6.96
S011,2025-2026,12,12C1,Biology,7.9;6.3,5.9,5.4,6.03
S011,2025-2026,12,12C1,History,5.6;8.3,5.8,6.8,6.56
S011,2025-2026,12,12C1,Geography,6.0;7.7,7.1,5.7,6.43
S012,2023-2024,10,10A1,Math,6.9;7.8,6.5,7.5,7.17
S012,2023-2024,10,10A1,Literature,6.2;6.2,6.5,5.4,5.94
S012,2023-2024,10,10A1,English,8.5;5.9,5.7,7.4,6.86
S012,2023-2024,10,10A1,Physics,5.8;6.7,6.0,7.8,6.84
S012,2023-2024,10,10A1,Chemistry,6.8;7.4,5.9,5.7,6.16
S012,2023-2024,10,10A1,Biology,8.1;7.9,5.8,7.3,7.07
S012,2023-2024,10,10A1,History,7.6;8.4,6.9,6.0,6.83
S012,2023-2024,10,10A1,Geography,8.4;5.8,7.9,6.2,6.94
S012,2024-2025,11,11B2,Math,7.9;6.1,6.3,6.3,6.5
S012,2024-2025,11,11B2,Literature,8.4;6.1,5.5,8.2,7.16
S012,2024-2025,11,11B2,English,7.3;8.2,5.5,7.5,7.0
S012,2024-2025,11,11B2,Physics,8.5;7.0,7.5,5.5,6.71
S012,2024-2025,11,11B2,Chemistry,5.5;7.6,7.0,7.6,7.13
S012,2024-2025,11,11B2,Biology,5.7;6.4,5.1,7.8,6.53
S012,2024-2025,11,11B2,History,8.5;5.9,7.7,7.4,7.43
S012,2024-2025,11,11B2,Geography,6.8;6.3,6.4,7.1,6.74
S012,2025-2026,12,12C1,Math,7.6;7.7,6.1,8.1,7.4
S012,2025-2026,12,12C1,Literature,7.4;7.5,7.3,7.9,7.6
S012,2025-2026,12,12C1,English,8.2;6.7,7.0,7.1,7.17
S012,2025-2026,12,12C1,Physics,7.8;7.0,7.4,6.5,7.01
S012,2025-2026,12,12C1,Chemistry,8.4;5.8,8.0,6.6,7.14
S012,2025-2026,12,12C1,Biology,8.2;6.9,6.9,5.1,6.31
S012,2025-2026,12,12C1,History,5.5;7.4,6.8,5.5,6.14
S012,2025-2026,12,12C1,Geography,7.0;6.6,7.6,7.0,7.11
S013,2023-2024,10,10A2,Math,5.5;5.5,5.3,8.1,6.56
S013,2023-2024,10,10A2,Literature,8.0;6.6,6.3,5.6,6.29
S013,2023-2024,10,10A2,English,6.9;7.5,5.6,5.5,6.01
S013,2023-2024,10,10A2,Physics,5.7;8.0,5.4,8.0,6.93
S013,2023-2024,10,10A2,Chemistry,7.3;7.6,6.3,8.0,7.36
S013,2023-2024,10,10A2,Biology,6.0;7.9,6.5,7.5,7.06
S013,2023-2024,10,10A2,History,7.4;7.5,6.0,5.8,6.33
S013,2023-2024,10,10A2,Geography,8.5;6.5,7.8,6.3,7.07
S013,2024-2025,11,11B2,Math,5.8;6.2,6.0,5.0,5.57
S013,2024-2025,11,11B2,Literature,7.7;8.4,5.2,6.4,6.53
S013,2024-2025,11,11B2,English,8.0;8.5,5.5,5.9,6.46
S013,2024-2025,11,11B2,Physics,5.6;5.9,5.4,6.3,5.89
S013,2024-2025,11,11B2,Chemistry,7.8;7.5,5.4,6.8,6.64
S013,2024-2025,11,11B2,Biology,5.5;5.6,5.8,7.9,6.63
S013,2024-2025,11,11B2,History,6.0;5.6,5.9,5.2,5.57
S013,2024-2025,11,11B2,Geography,6.1;8.0,7.0,7.1,7.06
S013,2025-2026,12,12C1,Math,6.8;6.3,7.0,7.1,6.91
S013,2025-2026,12,12C1,Literature,8.3;5.8,6.5,5.1,6.06
S013,2025-2026,12,12C1,English,8.2;5.6,5.0,8.4,7.0
S013,2025-2026,12,12C1,Physics,7.4;6.4,6.0,6.3,6.39
S013,2025-2026,12,12C1,Chemistry,6.9;6.1,7.8,7.1,7.13
S013,2025-2026,12,12C1,Biology,8.0;8.3,7.7,7.2,7.61
S013,2025-2026,12,12C1,History,5.7;7.0,5.6,6.5,6.2
S013,2025-2026,12,12C1,Geography,7.6;5.9,7.4,6.0,6.61
S014,2023-2024,10,10A2,Math,4.4;4.6,5.5,2.9,4.1
S014,2023-2024,10,10A2,Literature,3.9;5.9,4.7,2.8,3.94
S014,2023-2024,10,10A2,English,3.9;3.3,3.2,5.7,4.39
S014,2023-2024,10,10A2,Physics,3.6;5.5,4.1,3.0,3.76
S014,2023-2024,10,10A2,Chemistry,6.1;6.0,3.8,5.6,5.21
S014,2023-2024,10,10A2,Biology,5.5;4.7,5.2,4.6,4.91
S014,2023-2024,10,10A2,History,4.0;5.5,3.5,4.9,4.46
S014,2023-2024,10,10A2,Geography,5.2;5.6,3.0,5.6,4.8
S014,2024-2025,11,11B1,Math,6.3;3.6,5.6,3.5,4.51
S014,2024-2025,11,11B1,Literature,3.8;4.1,3.8,4.4,4.1
S014,2024-2025,11,11B1,English,3.8;3.7,5.4,5.7,5.06
S014,2024-2025,11,11B1,Physics,4.2;3.7,4.5,5.3,4.69
S014,2024-2025,11,11B1,Chemistry,3.7;4.6,4.5,5.4,4.79
S014,2024-2025,11,11B1,Biology,6.4;5.5,3.7,3.2,4.13
S014,2024-2025,11,11B1,History,6.4;6.2,5.6,4.7,5.41
S014,2024-2025,11,11B1,Geography,5.1;5.2,6.0,3.0,4.47
S014,2025-2026,12,12C1,Math,4.5;4.8,3.4,4.2,4.1
S014,2025-2026,12,12C1,Literature,6.4;3.9,3.8,4.1,4.31
S014,2025-2026,12,12C1,English,5.8;3.4,3.5,5.9,4.84
S014,2025-2026,12,12C1,Physics,5.2;3.8,3.8,5.5,4.73
S014,2025-2026,12,12C1,Chemistry,5.4;4.3,5.2,3.4,4.33
S014,2025-2026,12,12C1,Biology,5.0;5.1,5.3,5.6,5.36
S014,2025-2026,12,12C1,History,4.6;3.1,3.0,4.5,3.89
S014,2025-2026,12,12C1,Geography,5.8;5.2,4.7,4.9,5.01
S015,2023-2024,10,10A2,Math,8.0;6.0,7.0,8.2,7.51
S015,2023-2024,10,10A2,Literature,7.1;7.4,7.5,7.7,7.51
S015,2023-2024,10,10A2,English,6.5;6.0,7.9,7.1,7.09
S015,2023-2024,10,10A2,Physics,7.1;8.5,5.1,5.1,5.87
S015,2023-2024,10,10A2,Chemistry,6.3;6.0,7.0,5.6,6.16
S015,2023-2024,10,10A2,Biology,5.8;6.8,6.6,8.4,7.29
S015,2023-2024,10,10A2,History,6.6;7.0,5.5,8.5,7.16
S015,2023-2024,10,10A2,Geography,7.5;7.6,6.9,6.2,6.79
S015,2024-2025,11,11B2,Math,7.3;8.3,6.3,6.1,6.64
S015,2024-2025,11,11B2,Literature,6.8;6.7,5.0,5.1,5.54
S015,2024-2025,11,11B2,English,7.2;6.8,6.3,5.8,6.29
S015,2024-2025,11,11B2,Physics,6.5;7.2,6.5,5.9,6.34
S015,2024-2025,11,11B2,Chemistry,6.4;6.0,5.9,5.0,5.6
S015,2024-2025,11,11B2,Biology,7.3;8.1,5.0,7.7,6.93
S015,2024-2025,11,11B2,History,7.8;6.2,5.7,5.1,5.81
S015,2024-2025,11,11B2,Geography,6.9;7.8,6.1,6.7,6.71
S015,2025-2026,12,12C1,Math,7.7;8.4,6.8,5.4,6.56
S015,2025-2026,12,12C1,Literature,8.3;7.2,6.1,7.8,7.3
S015,2025-2026,12,12C1,English,6.2;8.5,7.7,7.2,7.39
S015,2025-2026,12,12C1,Physics,6.3;7.8,7.7,7.7,7.51
S015,2025-2026,12,12C1,Chemistry,6.1;7.1,6.7,8.2,7.31
S015,2025-2026,12,12C1,Biology,7.4;8.3,5.8,6.6,6.73
S015,2025-2026,12,12C1,History,6.8;7.0,6.1,6.6,6.54
S015,2025-2026,12,12C1,Geography,7.8;6.6,7.8,6.0,6.86
